IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
350710,3507100.0,BOM JESUS DOS PERDÕES,-23.172531063631773,-46.47902735387744,0.0,0.0,0.0,,False,0.0
350715,3507159.0,BOM SUCESSO DE ITARARÉ,-24.31603620978214,-49.16471540888745,0.0,0.0,0.0,,False,0.0
350720,3507209.0,BORÁ,-22.24417455141948,-50.50212475052224,0.0,0.0,0.0,,False,0.0
350730,3507308.0,BORACÉIA,-22.170043281446965,-48.788384186243285,0.0,0.0,0.0,,False,0.0
350740,3507407.0,BORBOREMA,-21.610778256524767,-49.07201334311464,0.0,142260.0,0.0002358,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
350745,3507456.0,BOREBI,-22.680598188867243,-48.99232835389555,0.0,27130.0,8.04e-05,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350750,3507506.0,BOTUCATU,-22.863415114434336,-48.46830004986397,0.0,1451550.0,0.0033476,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350760,3507605.0,BRAGANÇA PAULISTA,-22.93840457478192,-46.55604377364676,0.0,0.0,0.0,,False,0.0
350770,3507704.0,BRAÚNA,-21.55324154071525,-50.33942722496315,386748.09,0.0,0.0,,True,0.0
350775,3507753.0,BREJO ALEGRE,-21.176605563123083,-50.20980723562507,0.0,25650.0,7.64e-05,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350790,3507902.0,BROTAS,-22.273351383330088,-48.08123373793086,0.0,238980.0,0.0005962,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020",False,0.0
350810,3508108.0,BURITAMA,-21.049091255187925,-50.200271494784026,0.0,172100.0,0.0004333,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020",False,0.0
350820,3508207.0,BURITIZAL,-20.209305229936707,-47.69295396917601,0.0,43560.0,9.8e-05,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.,False,0.0
350830,3508306.0,CABRÁLIA PAULISTA,-22.489522221347325,-49.37303896783624,0.0,0.0,0.0,,False,0.0
350840,3508405.0,CABREÚVA,-23.30126267556731,-47.08027375348407,0.0,0.0,0.0,,False,0.0
350850,3508504.0,CAÇAPAVA,-23.103733460290535,-45.71333756801552,0.0,0.0,0.0,,False,0.0
350860,3508603.0,CACHOEIRA PAULISTA,-22.70230098776377,-44.99171144851991,0.0,315640.0,0.0007343,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020",False,0.0
350870,3508702.0,CACONDE,-21.539494411936907,-46.6171015634065,0.0,171010.0,0.000471,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020",False,0.0
350880,3508801.0,CAFELÂNDIA,-21.731193964056484,-49.54878312714765,0.0,0.0,0.0,,False,0.0
350890,3508900.0,CAIABU,-21.949831280861392,-51.22389457446209,0.0,37120.0,9.23e-05,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
350900,3509007.0,CAIEIRAS,-23.37592127064723,-46.74521908305864,0.0,950320.0,0.0024743,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350910,3509106.0,CAIUÁ,-21.801962270997077,-51.98684233002721,0.0,0.0,0.0,,False,0.0
