CODIGO;MUNICIPIO;VA 2024;VA 2023;População;Receita Tributária;Área Cultivada;Área Inundada;Ind. Protegida;Vegetação Nativa;Resíduos Sólidos;Cota Parte Educação;IPM;
630;SANTO ANTONIO DE POSSE;1.653.819.937;1.765.019.547;23244;21415132;9962,90;0,0000000;0,060514;0,0003089;0,0013400;0,0006419;0,0799632;
760;SANTO ANTONIO DO ARACANGUA;549.496.771;801.731.811;8379;6640992;104863,54;0,0277390;0,000000;0,0000000;0,0012650;0,0002472;0,0646726;
628;SANTO ANTONIO DO JARDIM;233.867.499;170.044.122;6126;3407161;7813,10;0,0000000;0,000000;0,0000000;0,0013450;0,0001663;0,0149466;
629;SANTO ANTONIO DO PINHAL;67.979.157;54.311.897;7133;8564376;4869,30;0,0000000;0,237539;0,0032415;0,0000000;0,0002280;0,0150819;
631;SANTO EXPEDITO;33.423.924;24.927.893;3000;400877;9188,40;0,0000000;0,000000;0,0000000;0,0012340;0,0000873;0,0075067;
632;SANTOPOLIS DO AGUAPEI;66.668.264;76.481.471;3899;1751362;10758,30;0,0000000;0,000000;0,0000000;0,0000000;0,0001203;0,0092357;
633;SANTOS;33.065.367.069;30.267.090.069;418608;2080310939;446,80;0,0000000;1,222337;0,0042995;0,0030220;0,0086116;1,4234577;
634;SAO BENTO DO SAPUCAI;144.737.337;130.762.974;11674;7314906;11512,30;0,0000000;0,468390;0,0047485;0,0013450;0,0002782;0,0242959;
635;SAO BERNARDO DO CAMPO;62.063.944.186;52.254.569.658;810729;1694346630;42,90;0,0133556;1,147333;0,0043513;0,0179850;0,0192717;2,5089274;
636;SAO CAETANO DO SUL;24.071.644.703;22.111.681.584;165655;646017049;0,00;0,0000000;0,000000;0,0000000;0,0030220;0,0036880;0,9513643;
637;SAO CARLOS;10.629.121.750;9.973.792.146;254857;421063908;80557,80;0,0000000;0,104700;0,0016642;0,0028940;0,0049825;0,4947496;
638;SAO FRANCISCO;79.265.641;72.278.054;2602;591592;7395,55;0,0000000;0,000000;0,0000000;0,0000000;0,0000206;0,0075940;
639;SAO JOAO DA BOA VISTA;3.467.626.187;3.106.081.911;92547;95639471;42349,80;0,0000000;0,000000;0,0000000;0,0016290;0,0020249;0,1656895;
640;SAO JOAO DAS DUAS PONTES;63.176.701;38.994.897;2580;288779;11581,10;0,0000000;0,000000;0,0000000;0,0011630;0,0000456;0,0082147;
761;SAO JOAO DE IRACEMA;67.208.733;62.166.692;1846;742817;14176,20;0,0000000;0,000000;0,0000000;0,0012650;0,0000490;0,0092631;
641;SAO JOAO DO PAU D'ALHO;84.076.024;73.354.227;2242;662726;9621,70;0,0000000;0,003571;0,0000000;0,0012200;0,0000675;0,0092343;
642;SAO JOAQUIM DA BARRA;3.018.069.725;2.726.243.335;48558;40052407;35180,90;0,0000000;0,000000;0,0000000;0,0015850;0,0008596;0,1314439;
644;SAO JOSE DA BELA VISTA;241.003.324;245.372.770;7626;3333092;22479,00;0,0000192;0,000000;0,0000000;0,0010180;0,0002341;0,0197251;
643;SAO JOSE DO BARREIRO;36.872.388;26.345.610;3853;1614221;16234,70;0,0003619;0,000542;0,0162057;0,0011290;0,0001120;0,0255166;
646;SAO JOSE DO RIO PARDO;1.815.618.564;1.575.361.125;52205;40225602;33852,80;0,0005313;0,000000;0,0000000;0,0016290;0,0012443;0,0916307;
647;SAO JOSE DO RIO PRETO;14.203.093.177;13.082.059.229;480393;803151061;20467,70;0,0000000;0,007411;0,0000000;0,0030910;0,0103108;0,6941533;
645;SAO JOSE DOS CAMPOS;55.936.189.850;51.493.582.988;697054;1103323074;48090,10;0,0023870;0,117544;0,0033276;0,0182970;0,0180097;2,3275499;
