IBGE_6,IBGE_7,Município_Join,latitude,longitude
352550,3525508.0,JOANÓPOLIS,-22.93884008975687,-46.20924035722153
352560,3525607.0,JOÃO RAMALHO,-22.277962633239547,-50.79913115096374
352570,3525706.0,JOSÉ BONIFÁCIO,-21.089465415657216,-49.779425546416256
352580,3525805.0,JÚLIO MESQUITA,-21.97296574376482,-49.793303632626476
352585,3525854.0,JUMIRIM,-23.09954114605264,-47.78806406155879
352590,3525904.0,JUNDIAÍ,-23.194643129077267,-46.9130187226079
352600,3526001.0,JUNQUEIRÓPOLIS,-21.448955127497157,-51.435025063994324
352610,3526100.0,JUQUIÁ,-24.213603263535703,-47.65225755288312
352620,3526209.0,JUQUITIBA,-23.95516625730165,-47.02463937319118
352630,3526308.0,LAGOINHA,-23.085783478605048,-45.20680955157563
352640,3526407.0,LARANJAL PAULISTA,-23.012212685005185,-47.865669287326114
352650,3526506.0,LAVÍNIA,-21.150789650301594,-51.03262608194039
352660,3526605.0,LAVRINHAS,-22.520275496722363,-44.888834024573114
352670,3526704.0,LEME,-22.172137545206677,-47.337578741183584
352680,3526803.0,LENÇÓIS PAULISTA,-22.67613949766241,-48.82500642197547
352690,3526902.0,LIMEIRA,-22.598445722373743,-47.36362607408785
352700,3527009.0,LINDÓIA,-22.513456451476596,-46.654867528519866
352710,3527108.0,LINS,-21.64976052442817,-49.68287517328753
352720,3527207.0,LORENA,-22.79394270763966,-45.06004569691484
352725,3527256.0,LOURDES,-20.94917247382566,-50.23409352610224
352730,3527306.0,LOUVEIRA,-23.084033142957338,-46.93761030678429
352740,3527405.0,LUCÉLIA,-21.644164726769297,-50.99165931670613
352750,3527504.0,LUCIANÓPOLIS,-22.473393085900213,-49.5503025337106
352760,3527603.0,LUÍS ANTÔNIO,-21.552706496518283,-47.78186066856535
352770,3527702.0,LUIZIÂNIA,-21.67262585912593,-50.35086283677664
352780,3527801.0,LUPÉRCIO,-22.42716115588217,-49.81697103204716
352790,3527900.0,LUTÉCIA,-22.325333770618375,-50.38548899116891
352800,3528007.0,MACATUBA,-22.487155869556105,-48.71935915243708
352810,3528106.0,MACAUBAL,-20.837887142896264,-49.97498456853069
352820,3528205.0,MACEDÔNIA,-20.098126516280498,-50.181533097731176
352830,3528304.0,MAGDA,-20.596553845531453,-50.23008744813629
352840,3528403.0,MAIRINQUE,-23.50800549097648,-47.22929659038523
352850,3528502.0,MAIRIPORÃ,-23.317262675545283,-46.56125540663123
352860,3528601.0,MANDURI,-23.047090912768464,-49.30362682342072
352870,3528700.0,MARABÁ PAULISTA,-22.127699095295537,-52.05656079863769
352880,3528809.0,MARACAÍ,-22.652245970460424,-50.74534515806868
352885,3528858.0,MARAPOAMA,-21.25552925649736,-49.13780512438967
352890,3528908.0,MARIÁPOLIS,-21.779143094191458,-51.17179692994142
352900,3529005.0,MARÍLIA,-22.177757615292236,-49.98307423544372
352910,3529104.0,MARINÓPOLIS,-20.479870117537473,-50.83232091391126
352920,3529203.0,MARTINÓPOLIS,-22.17238522085649,-51.12341770909152
352930,3529302.0,MATÃO,-21.610107090188638,-48.43015720060933
352940,3529401.0,MAUÁ,-23.66616594959732,-46.44632553982503
352950,3529500.0,MENDONÇA,-21.194058652142843,-49.57030811783375
352960,3529609.0,MERIDIANO,-20.39820531544463,-50.186633371122504
352965,3529658.0,MESÓPOLIS,-19.95750781574727,-50.61545147246666
352970,3529708.0,MIGUELÓPOLIS,-20.18468768013045,-48.10540559559874
352980,3529807.0,MINEIROS DO TIETÊ,-22.46324232996795,-48.433242787984334
352990,3529906.0,MIRACATU,-24.195052541396272,-47.39464898965537
353000,3530003.0,MIRA ESTRELA,-19.951848966032724,-50.1243023262891
353010,3530102.0,MIRANDÓPOLIS,-21.081099644781236,-51.130563837229815
353020,3530201.0,MIRANTE DO PARANAPANEMA,-22.349241363943598,-51.99796952869839
353030,3530300.0,MIRASSOL,-20.827596988327496,-49.50424269826822
353040,3530409.0,MIRASSOLÂNDIA,-20.594944211635877,-49.48696550318806
353050,3530508.0,MOCOCA,-21.449557068968787,-47.032874413906804
353060,3530607.0,MOGI DAS CRUZES,-23.569592680577056,-46.18606608047926
353070,3530706.0,MOGI GUAÇU,-22.232094684068375,-47.02894137985917
353080,3530805.0,MOGI MIRIM,-22.451324899177237,-46.9883775738103
353090,3530904.0,MOMBUCA,-22.942703748428883,-47.602072538656145
353100,3531001.0,MONÇÕES,-20.863082155596246,-50.07945600980155
353110,3531100.0,MONGAGUÁ,-24.07028857942394,-46.66805271036747
353120,3531209.0,MONTE ALEGRE DO SUL,-22.704304122617774,-46.66765379848705
353130,3531308.0,MONTE ALTO,-21.259308770182017,-48.53301775677264
353140,3531407.0,MONTE APRAZÍVEL,-20.73760434517618,-49.76584248132824
353150,3531506.0,MONTE AZUL PAULISTA,-20.908885795190713,-48.681283158844046
353160,3531605.0,MONTE CASTELO,-21.254900658892065,-51.57136182825841
353170,3531704.0,MONTEIRO LOBATO,-22.936514875968438,-45.804258811613025
353180,3531803.0,MONTE MOR,-22.953233770143232,-47.30739652545498
353190,3531902.0,MORRO AGUDO,-20.688749007595604,-48.15331125566452
353200,3532009.0,MORUNGABA,-22.89387021509029,-46.782645227546375
353205,3532058.0,MOTUCA,-21.513733989808962,-48.170361246798436
353210,3532108.0,MURUTINGA DO SUL,-20.99681512225263,-51.30139142798858
353215,3532157.0,NANTES,-22.596874739983775,-51.20088490116715
353220,3532207.0,NARANDIBA,-22.563710887121914,-51.52168524632137
353230,3532306.0,NATIVIDADE DA SERRA,-23.4151479990618,-45.38153997268653
353240,3532405.0,NAZARÉ PAULISTA,-23.191415786995574,-46.36649353679522
353250,3532504.0,NEVES PAULISTA,-20.870476722140666,-49.64647467674453
353260,3532603.0,NHANDEARA,-20.67298801785721,-50.04687773954212
353270,3532702.0,NIPOÃ,-20.891663393174777,-49.77833092012847
353280,3532801.0,NOVA ALIANÇA,-21.062588242037936,-49.51588733136902
353282,3532827.0,NOVA CAMPINA,-24.190620755420984,-48.97294835910721
353284,3532843.0,NOVA CANAÃ PAULISTA,-20.372034429335365,-50.91050062276336
353286,3532868.0,NOVA CASTILHO,-20.777878544266006,-50.345795032127384
353290,3532900.0,NOVA EUROPA,-21.77429316867239,-48.54963719073677
353300,3533007.0,NOVA GRANADA,-20.47600892094697,-49.33112877115045
353310,3533106.0,NOVA GUATAPORANGA,-21.3224267538889,-51.64555503943826
353320,3533205.0,NOVA INDEPENDÊNCIA,-21.135334307468984,-51.50516763092688
353325,3533254.0,NOVAIS,-20.98856729145338,-48.91803278090743
353330,3533304.0,NOVA LUZITÂNIA,-20.86866965646657,-50.249256007986574
